Investor_ID,Name,Age,Country,Income_Level,Risk_Tolerance,Preferred_Investment,Portfolio_Value,Risk_Adjusted_Returns (%),Liquidity_Preference,Net_Worth,Date_Joined,Email
1c20e346-b3c5-4387-9c60-5a999885a9c9,Matthew Graham,53,Svalbard & Jan Mayen Islands,Low,High,Private Equity,401145,40114.5,Monthly,723625.48,2020-09-09,kparker@henderson-bowman.com
e88b8230-2e8e-468d-b8c7-f2f2f76783f2,Raymond Hall,32,Swaziland,Medium,Medium,Real Estate,2361472,141688.32,Daily,6978429.15,2020-01-09,heathersims@wolf.biz
58006b20-2a70-4c49-b931-c4c0123bd08c,Paul Smith,52,Nicaragua,Ultra-High,High,Cryptocurrency,1051256,105125.6,Quarterly,2340928.43,2022-09-17,ginagregory@evans.com
cfbeff0d-b453-4532-a354-7c4dca04b3b9,Christopher Carlson,42,Guernsey,Medium,Medium,Cryptocurrency,3707920,222475.2,Quarterly,10818952.43,2022-03-30,michelle69@hotmail.com
99c7cc83-85ab-4c43-89ad-78738ec4a3de,Lisa Nielsen,44,Cameroon,Ultra-High,Low,Cryptocurrency,6606645,198199.35,Quarterly,12895993.27,2021-09-29,maciascynthia@armstrong-gordon.info
4327bdec-d4a3-4bbd-b0f9-d9f1d5f9a557,Kelly Haynes,45,Uganda,High,Low,Cryptocurrency,2959642,88789.26,Monthly,8060234.37,2024-10-07,shawnduran@gmail.com
196c4aa9-04a0-4337-bdc5-23bf6ede1cea,James Ayers,43,Peru,Medium,High,Real Estate,7162688,716268.8,Annually,14909608.36,2024-01-10,perkinsdouglas@hebert.com
82fc4e4d-713a-4ed7-8bba-a9450133c896,Pamela Watkins,56,Fiji,Low,High,Cryptocurrency,147879,14787.9,Annually,324482.52,2022-08-07,fguerra@yahoo.com
56e7519b-73e8-45f6-86a8-bb7470d6feb5,Patrick Holt,51,United Kingdom,Ultra-High,Medium,Cryptocurrency,3606372,216382.32,Annually,9539068.53,2024-07-23,jenniferpowell@gmail.com
6bdabbec-7e21-470c-8d5c-5e4d389f5ae9,Randy Diaz,18,Greenland,High,High,Real Estate,252852,25285.2,Quarterly,553402.28,2023-08-28,james87@hotmail.com
6bd81835-bf09-4ddd-9809-fb69d8e95153,John Cline,20,Holy See (Vatican City State),Ultra-High,Medium,Real Estate,6565926,393955.56,Daily,18641796.25,2022-09-18,parkjonathon@hotmail.com
cb0ca409-c293-40c2-be60-01fa819ffc2b,Robert Baker,23,Guatemala,Ultra-High,Medium,Stocks,513415,30804.9,Monthly,1160012.02,2022-04-05,francisco13@yahoo.com
863af3f0-6a6b-4915-b60b-9573eb08f61f,Shannon Daniels,42,Cape Verde,Medium,Low,Cryptocurrency,7086798,212603.94,Monthly,18791362.72,2022-12-19,sandra72@hotmail.com
e1993804-fd0a-4426-8801-336f0b6eaa31,Dr. David Murphy PhD,74,French Southern Territories,Medium,Low,Stocks,8717122,261513.66,Daily,16018451.11,2023-07-18,kyleclay@hotmail.com
42a950e0-913f-4310-ba91-262311292e45,Jason Alexander,73,Lesotho,Low,Medium,Stocks,5655043,339302.58,Monthly,15041336,2022-10-17,bethanyclark@yahoo.com
821bbeab-2568-41e9-b46e-0dd0796cf9ed,Bryan Young,27,Paraguay,Ultra-High,Medium,Private Equity,2117776,127066.56,Quarterly,3185577.16,2021-01-10,ggilmore@arias.com
777f6dcb-16f6-488f-9cd6-31043ae3ff78,Kristen Arnold,42,Guernsey,High,Low,Private Equity,2409319,72279.57,Quarterly,6782465.58,2024-01-02,richardpetersen@reed-bradley.net
8ec66b30-80a2-4392-b9d2-51922a841648,Richard Wong,67,Saint Lucia,Low,High,Cryptocurrency,336266,33626.6,Annually,909835.91,2024-01-31,martin32@yahoo.com
fab26280-4a45-4044-9f8b-4d86e0f47efb,Jennifer Thompson,52,Taiwan,Medium,Low,Stocks,6690265,200707.95,Daily,15053617.92,2024-05-10,jeremiah80@hotmail.com
76ebbf11-a2ca-4102-93c7-9259ffdf97f7,Carolyn Kim,77,Zambia,Low,Low,Real Estate,557963,16738.89,Daily,1624497.5,2024-06-05,alex77@yahoo.com
52679eff-0920-4ce8-af63-39e374af377a,Ashley Thomas,64,Papua New Guinea,Medium,High,Hedge Funds,4323204,432320.4,Annually,9240282.5,2021-01-29,troy51@charles-warren.com
fea24902-db94-4174-a336-2c0d971643e5,Jodi Palmer,24,Saint Vincent and the Grenadines,Low,Low,Stocks,8735434,262063.02,Monthly,19370175.05,2022-08-15,williamsdylan@gmail.com
79af76fc-020c-4137-a04e-64751316dd45,Matthew Schaefer,68,Bulgaria,Medium,High,Private Equity,6370280,637028,Quarterly,18012809.52,2020-05-26,anthonyjackson@blair.com
ce3f1656-57f8-4ce7-a13c-7369ca3ab0a7,Thomas Mcgrath,45,China,High,Medium,Hedge Funds,6974669,418480.14,Daily,20812832.3,2020-11-01,jamesmartin@randolph-dickson.info
82ba3b36-51ca-45fb-b481-03de090994e8,Lindsey Watson,28,Trinidad and Tobago,High,High,Hedge Funds,1727147,172714.7,Daily,4102912.01,2024-11-22,hdean@santana-cox.org
6448c7b8-7c96-417c-8b20-ab4f8359398f,Gregory Taylor,68,French Southern Territories,High,Low,Cryptocurrency,8616853,258505.59,Quarterly,18100976.33,2022-04-23,richfrank@hotmail.com
a039270d-ac21-4872-a58b-7abdc717211e,Laura Lee,44,Saint Lucia,Medium,Medium,Real Estate,5044856,302691.36,Daily,14385611.16,2022-06-04,iewing@sheppard.com
9749386d-9627-48e9-8758-9b95a2a82c46,Dennis Clay,28,Burundi,Low,High,Stocks,1826452,182645.2,Annually,3817309.87,2020-06-28,patrick35@weaver-camacho.com
8e98cc22-eb88-4ffd-b752-2f27a9fc8f18,Courtney Jackson,36,Saudi Arabia,High,Low,Cryptocurrency,9123577,273707.31,Monthly,17868184.58,2022-08-24,jackthompson@gmail.com
3ab7c77a-a88b-4291-a379-99e7b7123bc0,Randy Salinas,33,Switzerland,Ultra-High,High,Hedge Funds,7389258,738925.8,Annually,20154346.67,2023-02-27,griffineric@hotmail.com
f445d199-d6fc-420c-9e18-6b3bd54876a4,Jerry Daniels,69,Grenada,Ultra-High,High,Cryptocurrency,1589777,158977.7,Daily,2395275.13,2022-12-17,douglasrodriguez@hotmail.com
6147e7c5-6cdf-4bc7-bd48-caa6f8f80ced,Vanessa Huang,27,Kenya,High,Low,Hedge Funds,6608747,198262.41,Quarterly,17287387.29,2021-01-20,sherrywhite@gmail.com
2994da0e-f197-4a79-a771-2a675d5079e9,Rachael Shaffer,34,Paraguay,Ultra-High,Medium,Cryptocurrency,2823407,169404.42,Monthly,8447566.5,2021-12-03,dgutierrez@kelley-conley.info
da9f8a4a-e201-4483-917e-c9c3e5769919,Jennifer Rice,20,Gambia,Ultra-High,High,Cryptocurrency,8721640,872164,Monthly,15915418.72,2024-02-14,corey43@yahoo.com
1062962f-34e0-4d2d-a8bd-4e4ebf36b323,Mr. Brett Martin,38,Lesotho,Low,Low,Private Equity,691206,20736.18,Daily,1184050.27,2022-10-20,bwilson@yahoo.com
4f492f55-69ce-4f94-9906-f86eee3aea9f,Johnny Paul,53,San Marino,Ultra-High,High,Real Estate,1100075,110007.5,Quarterly,1842448.35,2022-06-28,jorge16@hotmail.com
0ababcc9-d4fc-486e-8e56-d902d53e482a,James Clay,18,Iraq,Medium,High,Hedge Funds,2912056,291205.6,Quarterly,4988087.16,2022-02-23,alejandromanning@yahoo.com
dde5538f-0cfb-440e-95f8-d34c18f2eeb4,Jamie Fernandez,60,Cote d'Ivoire,High,Medium,Stocks,2903568,174214.08,Daily,4692500.2,2022-03-17,spencerlaura@hotmail.com
e5e3dc19-b81e-485d-ade8-56f511b8e1ba,Katie Chavez,59,Guadeloupe,Medium,Low,Real Estate,6286667,188600.01,Annually,11120771.63,2020-03-04,moorejessica@hotmail.com
3f3f40fd-09c5-409d-b2b3-e092cfe8a5e3,Sarah Singleton,47,Heard Island and McDonald Islands,High,Medium,Real Estate,6706563,402393.78,Annually,14666457.79,2024-06-03,martindavid@hotmail.com
db4f6685-35dd-4ceb-8fed-14352d97f517,Joshua Hernandez,44,Solomon Islands,Low,Low,Real Estate,1944969,58349.07,Quarterly,5539092.25,2024-07-13,ugomez@gmail.com
0d7bb7dc-7994-42c1-8c1f-34492903b053,Richard Ryan,27,Denmark,High,High,Hedge Funds,6547811,654781.1,Daily,19206490.9,2022-08-19,lauragray@yahoo.com
4aef103f-6602-439b-bb3b-60e9ae88a880,Michelle White,61,Barbados,Medium,Medium,Real Estate,7301578,438094.68,Quarterly,17672466.7,2023-05-01,wilsonrichard@lopez-lewis.net
7e836d14-25bc-48eb-95f2-1af5b3a27fc4,Sherri Phelps,23,United Arab Emirates,Medium,High,Hedge Funds,9239062,923906.2,Monthly,19845128.62,2024-09-26,dannyjones@weber.info
805e04f3-c513-41a5-85b4-2ab3917367b7,Heather Payne,54,Suriname,Ultra-High,High,Hedge Funds,7097214,709721.4,Daily,15776172.09,2024-10-09,charles77@hotmail.com
a0787aa7-356d-446f-8ed0-e19237f51f1b,David Perez,67,Uzbekistan,Medium,Medium,Hedge Funds,1415481,84928.86,Annually,3370661.56,2022-12-29,twright@yahoo.com
51b42c63-f5ca-45cd-b21b-852168df2914,Chad Hernandez,41,Mauritius,Ultra-High,High,Real Estate,4082147,408214.7,Monthly,9461318.04,2020-05-25,cody30@gmail.com
e3f49461-f51b-4d14-81d0-d8c4a743ac07,Morgan Ortega,69,Tanzania,Low,Low,Private Equity,6482868,194486.04,Annually,10187384.5,2023-08-19,jlawrence@murray.info
c5c5e549-5e67-4733-a37b-629b2ecb3047,Marcus Chapman,48,Anguilla,Low,Medium,Hedge Funds,2602224,156133.44,Quarterly,6075812.5,2020-01-07,dakotaedwards@gmail.com
013e5f3b-8247-476f-a569-19a69e44e0a6,David Spencer,68,Tunisia,Medium,Medium,Private Equity,876279,52576.74,Quarterly,1511258.05,2020-07-15,patricia10@shea-davis.com
8a28e6aa-69a2-4cb8-be65-cbdd9e194e8c,Aaron Henderson,65,Comoros,Low,Medium,Stocks,4469648,268178.88,Monthly,8322539.98,2024-11-10,mboyer@harrison.net
576129c3-a703-4e2e-863b-a0f10aeba5f3,Wanda Wilson,49,Liberia,Medium,Low,Private Equity,5819444,174583.32,Quarterly,8880980.94,2024-11-23,jefferymurphy@wood.com
64302c3e-0f68-42c8-904d-9db4d0013275,Victor White,41,Eritrea,Ultra-High,Low,Stocks,8116023,243480.69,Quarterly,22372841.72,2023-09-08,gacevedo@hotmail.com
13faea4e-943a-4715-b4c3-0b7bfdaadd66,Bobby Flowers,26,Kiribati,Medium,High,Private Equity,1993147,199314.7,Annually,4544158.59,2024-11-21,danielbrown@hotmail.com
3a017bda-6bba-4e23-99c8-71079d906352,Susan Clark,42,El Salvador,Ultra-High,Medium,Stocks,684521,41071.26,Daily,1045140.7,2021-11-07,cooknicholas@hotmail.com
1fb93d73-94cb-4f7c-8be0-b9db56e14c2d,Kristin Jones,51,Gibraltar,Ultra-High,Medium,Stocks,3037988,182279.28,Monthly,8971677.82,2022-06-23,bcastro@jones-hendrix.com
9b4a239f-e727-4a0c-90c6-23fe45dc23aa,Timothy Lara,23,Swaziland,Medium,Medium,Private Equity,3625744,217544.64,Daily,10780718.58,2020-03-27,nathan54@levine.net
313a3ece-e784-4f77-8c23-36268ab905f3,Breanna Hamilton,69,Japan,Ultra-High,Low,Real Estate,6231171,186935.13,Quarterly,18103896.92,2022-12-15,penningtonjoseph@beard.com
c76579ac-82e8-4eee-8822-9b10064fb4e2,David Martinez,70,Sri Lanka,Low,High,Real Estate,2920024,292002.4,Daily,8019496.03,2020-02-05,leahwhite@gmail.com
b9de9b51-b9b2-4fd6-862e-93e3d98cf75d,Justin Murphy,72,Nepal,Medium,Medium,Real Estate,9869849,592190.94,Annually,16924664.16,2024-07-26,cmartinez@yahoo.com
9eec8a82-5b99-4eb1-93d2-c1e4d622da0c,John Johnson,36,Lebanon,Ultra-High,Medium,Private Equity,5734970,344098.2,Quarterly,17104707.4,2022-11-20,rhunter@roy.biz
9f4ea295-6391-470f-a53a-bf558361aa3f,Roger Knight,29,Bhutan,Low,Medium,Real Estate,2192683,131560.98,Daily,6198214.67,2022-02-27,christineparks@yahoo.com
